Project Name,Package Name,Type Name,Code Smell
Sistema-Academia,control,MainMethods,Cyclic-Dependent Modularization
Sistema-Academia,control,MainMethods,Insufficient Modularization
Sistema-Academia,control,SistemaAcademia,Cyclic-Dependent Modularization
Sistema-Academia,control,StartController,Unutilized Abstraction
Sistema-Academia,control,TelaCadastroController,Unutilized Abstraction
Sistema-Academia,control,TelaCadastroFornecedorController,Unutilized Abstraction
Sistema-Academia,control,TelaCadastroFuncionarioController,Unutilized Abstraction
Sistema-Academia,control,TelaCadastroPlanoController,Unutilized Abstraction
Sistema-Academia,control,TelaCadastroProdutoController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaClienteController,Imperative Abstraction
Sistema-Academia,control,TelaConsultaClienteController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaFornecedorController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaFuncionarioController,Imperative Abstraction
Sistema-Academia,control,TelaConsultaFuncionarioController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaPlanoController,Unutilized Abstraction
Sistema-Academia,control,TelaConsultaProdutoController,Unutilized Abstraction
Sistema-Academia,control,TelaLoginController,Unutilized Abstraction
Sistema-Academia,control,TelaPrincipalController,Unutilized Abstraction
Sistema-Academia,control,TelaRelatorioController,Unutilized Abstraction
Sistema-Academia,control,TelaRelatorioRecebimentoController,Unutilized Abstraction
Sistema-Academia,control,TelaRelatorioUltimoAcessoController,Unutilized Abstraction
Sistema-Academia,control,TelaRelatorioVendaController,Unutilized Abstraction
Sistema-Academia,control,Validador,Insufficient Modularization
Sistema-Academia,control,Catraca,Unutilized Abstraction
Sistema-Academia,model,CatracaDAO,Unutilized Abstraction
Sistema-Academia,model,CatracaDAO,Broken Hierarchy
Sistema-Academia,model,Cliente,Unutilized Abstraction
Sistema-Academia,model,Cliente,Broken Hierarchy
Sistema-Academia,model,Cliente,Insufficient Modularization
Sistema-Academia,model,ClienteDAO,Unutilized Abstraction
Sistema-Academia,model,ClienteDAO,Broken Hierarchy
Sistema-Academia,model,ContentEmail,Deficient Encapsulation
Sistema-Academia,model,DAO,Unutilized Abstraction
Sistema-Academia,model,Fornecedor,Insufficient Modularization
Sistema-Academia,model,FornecedorDAO,Unutilized Abstraction
Sistema-Academia,model,FornecedorDAO,Broken Hierarchy
Sistema-Academia,model,Funcionario,Unutilized Abstraction
Sistema-Academia,model,Funcionario,Broken Hierarchy
Sistema-Academia,model,FuncionarioDAO,Unutilized Abstraction
Sistema-Academia,model,FuncionarioDAO,Broken Hierarchy
Sistema-Academia,model,Gerente,Broken Hierarchy
Sistema-Academia,model,GerenteDAO,Unutilized Abstraction
Sistema-Academia,model,GerenteDAO,Broken Hierarchy
Sistema-Academia,model,ItemPedidoDAO,Unutilized Abstraction
Sistema-Academia,model,ItemPedidoDAO,Broken Hierarchy
Sistema-Academia,model,Pessoa,Unutilized Abstraction
Sistema-Academia,model,Pessoa,Insufficient Modularization
Sistema-Academia,model,PlanoDAO,Unutilized Abstraction
Sistema-Academia,model,PlanoDAO,Broken Hierarchy
Sistema-Academia,model,ProdutoDAO,Unutilized Abstraction
Sistema-Academia,model,ProdutoDAO,Broken Hierarchy
Sistema-Academia,model,VendaDAO,Unutilized Abstraction
Sistema-Academia,model,VendaDAO,Broken Hierarchy
