Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
Sistema-Academia,control,Email,1,0,6,3,81,11,0,0,0.3333333333333333,2,4
Sistema-Academia,control,Padronizador,0,0,9,9,49,9,0,0,-1.0,12,0
Sistema-Academia,control,PreCarregamento,2,0,3,3,22,4,0,0,0.0,1,0
Sistema-Academia,control,SistemaAcademia,2,0,4,4,344,32,0,0,0.75,28,3
Sistema-Academia,control,StartController,1,0,1,1,5,1,0,0,0.0,0,0
Sistema-Academia,control,TelaAtualizarClienteController,36,0,7,2,195,18,0,0,0.2857142857142857,2,9
Sistema-Academia,control,TelaAtualizarFornecedorController,21,0,5,2,126,11,0,0,0.4,1,5
Sistema-Academia,control,TelaAtualizarFuncionarioController,33,0,5,2,151,11,0,0,0.4,1,6
Sistema-Academia,control,TelaAtualizarPlanoController,9,0,5,2,77,11,0,0,0.4,1,5
Sistema-Academia,control,TelaAtualizarProdutoController,9,0,5,2,77,11,0,0,0.4,1,5
Sistema-Academia,control,TelaCadastroClienteController,35,0,5,1,165,12,0,0,0.4,1,7
Sistema-Academia,control,TelaCadastroController,1,0,12,1,40,12,0,0,1.0,0,1
Sistema-Academia,control,TelaCadastroFornecedorController,20,0,3,1,93,5,0,0,0.6666666666666666,0,4
Sistema-Academia,control,TelaCadastroFuncionarioController,32,0,3,1,120,5,0,0,0.6666666666666666,0,4
Sistema-Academia,control,TelaCadastroPlanoController,8,0,3,1,43,5,0,0,1.0,0,4
Sistema-Academia,control,TelaCadastroProdutoController,8,0,3,1,43,5,0,0,1.0,0,4
Sistema-Academia,control,TelaCadastroVendaController,17,0,9,2,198,30,0,0,0.0,1,13
Sistema-Academia,control,TelaConsultaClienteController,3,0,4,1,107,9,0,0,0.5,0,5
Sistema-Academia,control,TelaConsultaController,1,0,11,1,37,11,0,0,1.0,0,1
Sistema-Academia,control,TelaConsultaFornecedorController,3,0,4,1,73,8,0,0,0.5,0,5
Sistema-Academia,control,TelaConsultaFuncionarioController,3,0,4,1,92,8,0,0,0.5,0,5
Sistema-Academia,control,TelaConsultaPlanoController,3,0,4,1,58,8,0,0,0.5,0,5
Sistema-Academia,control,TelaConsultaProdutoController,3,0,4,1,58,8,0,0,0.5,0,5
Sistema-Academia,control,TelaFormaPagamentoController,3,0,5,2,49,7,0,0,0.4,1,2
Sistema-Academia,control,TelaLoginController,3,0,5,1,106,27,0,0,0.4,0,4
Sistema-Academia,control,TelaPagamentoCompraController,2,0,5,2,46,7,0,0,0.6,1,1
Sistema-Academia,control,TelaPagamentoController,3,0,11,2,103,16,0,0,0.6363636363636364,1,7
Sistema-Academia,control,TelaPrincipalController,0,0,6,1,21,6,0,0,-1.0,0,1
Sistema-Academia,control,TelaRelatorioController,0,0,9,1,30,9,0,0,-1.0,0,1
Sistema-Academia,control,TelaRelatorioRecebimentoController,1,0,3,1,43,5,0,0,1.0,0,4
Sistema-Academia,control,TelaRelatorioUltimoAcessoController,1,0,3,1,41,5,0,0,1.0,0,4
Sistema-Academia,control,TelaRelatorioVendaController,1,0,3,1,37,4,0,0,1.0,0,4
Sistema-Academia,control,Validador,2,0,24,22,337,60,0,0,0.0,12,2
Sistema-Academia,control,Visualizador,0,0,15,15,187,18,0,0,-1.0,11,0
Sistema-Academia,control,Catraca,4,0,5,4,79,9,0,0,0.0,0,1
Sistema-Academia,model,CatracaDAO,2,0,3,2,59,7,0,1,0.6666666666666666,2,1
Sistema-Academia,model,Cliente,14,0,29,29,110,29,0,1,0.27586206896551724,7,0
Sistema-Academia,model,ClienteDAO,2,0,10,8,155,17,0,1,0.2,16,2
Sistema-Academia,model,ContentEmail,4,4,2,2,14,2,0,0,1.0,2,0
Sistema-Academia,model,DAO,2,0,4,0,25,5,9,0,0.75,0,0
Sistema-Academia,model,Fornecedor,15,0,31,31,120,31,0,0,0.16129032258064516,3,0
Sistema-Academia,model,FornecedorDAO,2,0,9,7,122,15,0,1,0.2222222222222222,4,3
Sistema-Academia,model,Funcionario,5,0,11,11,43,11,1,1,0.2727272727272727,6,0
Sistema-Academia,model,FuncionarioDAO,2,0,9,7,136,15,0,1,0.2222222222222222,6,3
Sistema-Academia,model,Gerente,0,0,2,2,7,2,0,2,-1.0,1,0
Sistema-Academia,model,GerenteDAO,2,0,11,9,144,17,0,1,0.18181818181818182,1,4
Sistema-Academia,model,ItemCompra,5,0,11,11,47,11,0,0,0.0,1,0
Sistema-Academia,model,ItemPedido,3,0,7,7,31,7,0,0,0.0,1,0
Sistema-Academia,model,ItemPedidoDAO,2,0,9,7,108,15,0,1,0.2222222222222222,2,2
Sistema-Academia,model,Pessoa,22,0,45,45,173,45,2,0,0.17777777777777778,0,0
Sistema-Academia,model,Plano,6,0,13,13,51,13,0,0,0.15384615384615385,5,0
Sistema-Academia,model,PlanoDAO,2,0,8,6,107,14,0,1,0.25,7,3
Sistema-Academia,model,Produto,6,0,13,13,51,13,0,0,0.15384615384615385,4,0
Sistema-Academia,model,ProdutoDAO,2,0,9,7,108,15,0,1,0.2222222222222222,5,3
Sistema-Academia,model,Venda,8,0,17,17,66,17,0,0,0.17647058823529413,2,0
Sistema-Academia,model,VendaDAO,2,0,10,8,124,17,0,1,0.2,3,3
Sistema-Academia,utils,utilitis,0,0,1,1,17,2,0,0,-1.0,1,1
